drug name,molecular_formula,smiles,,molecular_weight
zinc,Zn,[Zn],,Breast Feeding|Lactation|Minerals|Elements
Yttrium Y 90,Y,[90Y],,Breast Feeding|Lactation|Radiopharmaceuticals|Yttrium Radioisotopes
Xenon,Xe,[Xe],,"Breast Feeding|Lactation|Anesthetics, Inhalation|Elements|Gases"
Xenon Xe 133,Xe,[133Xe],,Breast Feeding|Lactation|Radiopharmaceuticals|Xenon Radioisotopes|Diagnostic Agents
Technegas,Tc,[99Tc],,Breast Feeding|Lactation|Radiopharmaceuticals|Technetium Compounds|Diagnostic Agents
Technetium Tc 99m Sulfur Colloid,S8Tc,S1SSSSSSS1.[99Tc],,Breast Feeding|Lactation|Radiopharmaceuticals|Technetium Compounds|Diagnostic Agents
radium-223,Ra,[223Ra],,Breast Feeding|Lactation|Antineoplastic Agents|Radiopharmaceuticals|Radionuclides|Radium
Technetium Tc 99m Pyrophosphate,O7P2Tc,[O-]P(=O)([O-])OP(=O)([O-])[O-].[99Tc+4],,Breast Feeding|Lactation|Radiopharmaceuticals|Technetium Compounds|Diagnostic Agents
thiosulfate,O3S2-2,[O-]S(=O)(=S)[O-],,"Breast Feeding|Lactation|Milk, Human|Antidotes|Chelating Agents"
Oxygen-15,O,[15O],,Breast Feeding|Lactation|Radiopharmaceuticals|Oxygen Radioisotopes|Diagnostic Agents
Sodium Pertechnetate Tc 99m,NaO4Tc,[O-][99Tc](=O)(=O)=O.[Na+],,Breast Feeding|Lactation|Radiopharmaceuticals|Technetium Compounds|Diagnostic Agents
Sodium Phosphate,Na3O4P,[O-]P(=O)([O-])[O-].[Na+].[Na+].[Na+],,Breast Feeding|Lactation|Cathartics|Electrolyte|Gastrointestinal Agents|Minerals
Nitrous Oxide,N2O,[N-]=[N+]=O,,"Breast Feeding|Lactation|Milk, Human|Anesthetics, Inhalation"
Nitrogen-13,N,[13N],,Breast Feeding|Lactation|Radiopharmaceuticals|Nitrogen Radioisotopes|Diagnostic Agents
Magnesium Sulfate,MgO4S,[O-]S(=O)(=O)[O-].[Mg+2],,Breast Feeding|Lactation|Antiarrhythmics|Anticonvulsants|Cathartics|Gastrointestinal Agents|Magnesium Compounds|Tocolytic Agents
Magnesium Oxide,MgO,O=[Mg],,Breast Feeding|Lactation|Cathartics|Gastrointestinal Agents|Magnesium Compounds
Lithium,Li,[Li],,"Breast Feeding|Lactation|Milk, Human|Lithium"
Sodium Iodide I 123,INa,[Na+].[123I-],,"Breast Feeding|Lactation|Milk, Human|Radiopharmaceuticals|Iodine Radioisotopes|Diagnostic Agents"
Sodium Iodide I 131,INa,[Na+].[131I-],,"Breast Feeding|Lactation|Milk, Human|Radiopharmaceuticals|Iodine Radioisotopes"
Iodine,I2,II,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents, Local|Antibacterial Agents"
Phosphorus P 32,HP,[32PH],,Breast Feeding|Lactation|Radiopharmaceuticals|Phosphorus Radioisotopes
Sodium Phosphate P 32,HNa2O4P,O[32P](=O)([O-])[O-].[Na+].[Na+],,Breast Feeding|Lactation|Radiopharmaceuticals|Phosphorus Radioisotopes
Ammonia N 13,H3N,[13NH3],,Breast Feeding|Lactation|Radiopharmaceuticals|Nitrogen Radioisotopes|Diagnostic Agents
Water O 15,H2O,[15OH2],,Breast Feeding|Lactation|Radiopharmaceuticals|Oxygen Radioisotopes|Diagnostic Agents
Sodium Fluoride F 18,FNa,[18F-].[Na+],,Breast Feeding|Lactation|Radiopharmaceuticals|Fluoride Radioisotopes|Diagnostic Agents
Iron Dextran,FeH2O4S,OS(=O)(=O)O.[Fe],,Breast Feeding|Lactation|Ferric Compounds|Hematinics|Iron Compounds
Ferumoxytol,Fe3H2O4,O[Fe]=O.O[Fe]=O.[Fe],,Breast Feeding|Lactation|Contrast Media|Ferric Compounds|Hematinics|Iron Compounds
Sulfur Hexafluoride,F6S,FS(F)(F)(F)(F)F,,"Breast Feeding|Lactation|Milk, Human|Contrast Media|Diagnostic Agents|Fluorides|Gases"
Thallous Chloride Tl 201,ClTl,Cl[201Tl],,Breast Feeding|Lactation|Radiopharmaceuticals|Thallium Radioisotopes|Diagnostic Agents
Rubidium Chloride Rb 82,ClRb,[Cl-].[82Rb+],,Breast Feeding|Lactation|Radiopharmaceuticals|Rubidium Radioisotopes|Diagnostic Agents
Cisplatin,Cl2H6N2Pt,N.N.Cl[Pt]Cl,,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Platinum Compounds"
Technetium Tc 99m Medronate,CH6O6P2,C(P(=O)(O)O)P(=O)(O)O,,Breast Feeding|Lactation|Radiopharmaceuticals|Technetium Compounds|Diagnostic Agents
Carbamide Peroxide,CH6N2O3,C(=O)(N)N.OO,,Breast Feeding|Lactation|Peroxides
Hydroxyurea,CH4N2O2,C(=O)(N)NO,,Breast Feeding|Lactation|Antineoplastic Agents|Antisickling Agents|Enzyme Inhibitors|Nucleic Acid Synthesis Inhibitors
Urea C 14,CH4N2O,[14C](=O)(N)N,,Breast Feeding|Lactation|Radiopharmaceuticals|Carbon Radioisotopes|Urea|Diagnostic Agents
Guanfacine,C9H9Cl2N3O,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl,,"Breast Feeding|Lactation|Milk, Human|Antihypertensive Agents|Adrenergic alpha-2 Receptor Agonists"
Clonidine,C9H9Cl2N3,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,,"Breast Feeding|Lactation|Milk, Human|Antihypertensive Agents|Adrenergic alpha-2 Receptor Agonists"
Aspirin,C9H8O4,CC(=O)OC1=CC=CC=C1C(=O)O,,Breast Feeding|Lactation|Analgesic Agents|Nonsteroidal Antiinflammatory Agents|Platelet Aggregation Inhibitors
Azathioprine,C9H7N7O2S,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],,"Breast Feeding|Lactation|Milk, Human|Immunosuppressive Agents"
Iodohippurate Sodium I 123,C9H7INNaO3,C1=CC=C(C(=C1)C(=O)NCC(=O)[O-])[123I].[Na+],,Breast Feeding|Lactation|Radiopharmaceuticals|Iodine Radioisotopes|Diagnostic Agents
Iodohippurate Sodium I 125,C9H7INNaO3,C1=CC=C(C(=C1)C(=O)NCC(=O)[O-])[125I].[Na+],,Breast Feeding|Lactation|Radiopharmaceuticals|Iodine Radioisotopes|Diagnostic Agents
Iodohippurate Sodium I 131,C9H7INNaO3,C1=CC=C(C(=C1)C(=O)NCC(=O)[O-])[131I].[Na+],,Breast Feeding|Lactation|Radiopharmaceuticals|Iodine Radioisotopes|Diagnostic Agents
Lamotrigine,C9H7Cl2N5,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,,"Breast Feeding|Lactation|Milk, Human|Anticonvulsants|Antimanic Agents|Antidepressive Agents"
Ibandronate,C9H23NO7P2,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,,Breast Feeding|Lactation|Bisphosphonates|Bone Density Conservation Agents|Diphosphonates
Echothiophate,C9H23NO3PS+,CCOP(=O)(OCC)SCC[N+](C)(C)C,,Breast Feeding|Lactation|Cholinesterase Inhibitors|Miotics|Parasympathomimetics
Meprobamate,C9H18N2O4,CCCC(C)(COC(=O)N)COC(=O)N,,"Breast Feeding|Lactation|Milk, Human|Anti-Anxiety Agents|Hypnotics and Sedatives|Muscle Relaxants, Central"
Gabapentin,C9H17NO2,C1CCC(CC1)(CC(=O)O)CN,,"Breast Feeding|Lactation|Milk, Human|Anticonvulsants|Antimanic Agents|GABA Agents"
Azelaic Acid,C9H16O4,C(CCCC(=O)O)CCCC(=O)O,,Breast Feeding|Lactation|Antineoplastic Agents|Dermatologic Agents
sapropterin,C9H15N5O3,C[C@@H]([C@@H]([C@H]1CNC2=C(N1)C(=O)NC(=N2)N)O)O,,Breast Feeding|Lactation|Coenzymes
Minoxidil,C9H15N5O,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,,Breast Feeding|Lactation|Antihypertensive Agents|Vasodilator Agents
Tenofovir,C9H14N5O4P,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(O)O,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Anti-HIV Agents|Antiviral Agents|Anti-Retroviral Agents|Reverse Transcriptase Inhibitors"
cedazuridine,C9H14F2N2O5,C1CN(C(=O)N[C@@H]1O)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,,Breast Feeding|Lactation|Antimetabolites|Antineoplastic Agents|Enzyme Inhibitors
Epinephrine,C9H13NO3,CNC[C@@H](C1=CC(=C(C=C1)O)O)O,,Breast Feeding|Lactation|Adrenergic Agonists|Adrenergic alpha-Agonists|Adrenergic beta-Agonists|Antiglaucoma Agents|Bronchodilator Agents|Catecholamines|Mydriatics|Sympathomimetics|Vasoconstrictor Agents
Ganciclovir,C9H13N5O4,C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N,,Breast Feeding|Lactation|Anti-Infective Agents|Antiviral Agents
cytarabine,C9H13N3O5,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,,"Breast Feeding|Lactation|Antimetabolites, Antineoplastic|Immunosuppressive Agents|Nucleosides"
Pyridostigmine,C9H13N2O2+,C[N+]1=CC=CC(=C1)OC(=O)N(C)C,,"Breast Feeding|Lactation|Milk, Human|Cholinesterase Inhibitors|Parasympathomimetics"
Amphetamine,C9H13N,CC(CC1=CC=CC=C1)N,,"Breast Feeding|Lactation|Milk, Human|Adrenergic Agents|Central Nervous System Stimulants|Dopamine Agents|Sympathomimetics|Wakefulness-Promoting Agents"
Dextroamphetamine,C9H13N,C[C@@H](CC1=CC=CC=C1)N,,"Breast Feeding|Lactation|Milk, Human|Adrenergic Agents|Central Nervous System Stimulants|Dopamine Agents|Sympathomimetics|Wakefulness-Promoting Agents"
Levodopa,C9H11NO4,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,,Breast Feeding|Lactation|Antiparkinson Agents|Dopamine Agents
Benzocaine,C9H11NO2,CCOC(=O)C1=CC=C(C=C1)N,,"Breast Feeding|Lactation|Anesthetics, Local"
Tranylcypromine,C9H11N,C1C(C1N)C2=CC=CC=C2,,Breast Feeding|Lactation|Antidepressive Agents|Monoamine Oxidase Inhibitors
