drug name,drug class
Brolucizumab,"Breast Feeding|Lactation|Milk, Human|Angiogenesis Inhibitors|Antibodies, Monoclonal"
Covid_vaccines,"Breast Feeding|Lactation|Milk, Human|Vaccines"
Cu_64_dotatate,Breast Feeding|Lactation|Radiopharmaceuticals
Ebola_vaccine,Breast Feeding|Lactation|Vaccines
Enhertu,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Antineoplastic Agents|Immunoconjugates|Topoisomerase I Inhibitors"
Evusheld,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Antibodies, Viral|Antiviral Agents"
Inmazeb,"Breast Feeding|Lactation|Antibodies, Monoclonal|Antibodies, Viral|Antiviral Agents"
Kadcyla,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Antineoplastic Agents|Immunoconjugates|Tubulin Modulators"
Amiodarone,Breast Feeding|Lactation|Antiarrhythmics
Doxycycline,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Tetracyclines
Sibutramine,Breast Feeding|Lactation|Appetite Depressants|Anti-Obesity Agents
Tattooing,"Breast Feeding|Lactation|Body Modification, Non-Therapeutic"
Nipple Piercing,"Breast Feeding|Lactation|Body Modification, Non-Therapeutic"
Vigabatrin,Breast Feeding|Lactation|Anticonvulsants|GABA Agents
Ketamine,"Breast Feeding|Lactation|Milk, Human|Anesthetics, Intravenous|Hypnotics and Sedatives|Anesthetics, Dissociative|Excitatory Amino Acid Antagonists;"
Nitazoxanide,Breast Feeding|Lactation|Anti-Infective Agents|Antiparasitic Agents
Sodium Picosulfate,Breast Feeding|Lactation|Cathartics|Gastrointestinal Agents
Magnesium Citrate,"Breast Feeding|Lactation|Milk, Human|Cathartics|Gastrointestinal Agents|Magnesium Compounds"
Magnesium Oxide,Breast Feeding|Lactation|Cathartics|Gastrointestinal Agents|Magnesium Compounds
Diphtheria-Tetanus-Pertussis Vaccines,"Breast Feeding|Lactation|Milk, Human|Vaccines"
Itraconazole,"Breast Feeding|Lactation|Milk, Human|Antifungal Agents"
Elvitegravir,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Anti-HIV Agents|Antiviral Agents|Anti-Retroviral Agents|HIV Integrase Inhibitors"
Ranibizumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Angiogenesis Inhibitors"
Paclitaxel,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents, Phytogenic|Antimitotic Agents|Tubulin Modulators"
Carboplatin,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Platinum Compounds"
Cetuximab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Antineoplastic Agents"
Trastuzumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Antineoplastic Agents"
Canakinumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal"
Brentuximab Vedotin,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal"
Enalapril,Breast Feeding|Lactation|Antihypertensive Agents|Angiotensin-Converting Enzyme Inhibitors|ACE Inhibitors|ACEIs
Belimumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal"
Basiliximab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal, Humanized"
Abciximab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Immunoglobulin Fab Fragments|Platelet Aggregation Inhibitors"
Ofatumumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal"
Ipilimumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Antineoplastic Agents|Biological Response Modifiers|Immunologic Adjuvants|Immune Checkpoint Inhibitors"
Denosumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal"
Tocilizumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal, Humanized|Antirheumatic Agents"
Pertuzumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Antineoplastic Agents"
Panitumumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal"
Enoxacin,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Quinolones|Fluoroquinolones
Palivizumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Antibodies, Viral|Antiviral Agents"
Ustekinumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Dermatologic Agents"
Digoxin Immune Fab,Breast Feeding|Lactation|Antibodies|Immunoglobulin Fragments
Crotalidae Polyvalent Immune Fab (Ovine),Breast Feeding|Lactation|Antivenins|Immunoglobulin Fragments|Antibodies
Antivenin Latrodectus Mactans,Breast Feeding|Lactation|Antibodies|Antivenins
Antivenin Micrurus Fulvius,Breast Feeding|Lactation|Antibodies|Antivenins
Centruroides (Scorpion) Immune F(ab)2,Breast Feeding|Lactation|Antibodies|Antivenins|Immunoglobulin Fragments
Enoxaparin,Breast Feeding|Lactation|Anticoagulants|Low Molecular Weight Heparin
Agalsidase Beta,Breast Feeding|Lactation|Enzymes|Enzyme Replacement Therapy|alpha-Galactosidase
Dornase Alfa,Breast Feeding|Lactation|Enzymes|Deoxyribonuclease I
Pegademase Bovine,Breast Feeding|Lactation|Enzymes|Enzyme Replacement Therapy|Adenosine Deaminase
Rasburicase,Breast Feeding|Lactation|Enzymes|Gout Suppressants|Urate Oxidase
Laronidase,Breast Feeding|Lactation|Enzymes|Enzyme Replacement Therapy|Hexosaminidases
Idursulfase,Breast Feeding|Lactation|Enzymes|Enzyme Replacement Therapy|Iduronate Sulfatase
Alteplase,Breast Feeding|Lactation|Enzymes|Blood Coagulation Factors|Plasminogen Activators
Telaprevir,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents"
Boceprevir,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|Protease Inhibitors"
Etanercept,"Breast Feeding|Lactation|Milk, Human|Antirheumatic Agents|Dermatologic Agents|Gastrointestinal Agents|Tumor Necrosis Factor Inhibitors"
Diethyltoluamide,Breast Feeding|Lactation|Insect Repellents
Ribavirin,Breast Feeding|Lactation|Antiviral Agents|Nucleosides
Ammonia N 13,Breast Feeding|Lactation|Radiopharmaceuticals|Nitrogen Radioisotopes|Diagnostic Agents
