drug name,drug class
Amiodarone,drug class is Breast Feeding and Lactation and Antiarrhythmics.generate smile image.
Doxycycline,drug class is Breast Feeding and Lactation and Anti-Infective Agents and Antibacterial Agents and Tetracyclines.generate smile image.
Sibutramine,drug class is Breast Feeding and Lactation and Appetite Depressants and Anti-Obesity Agents.generate smile image.
Vigabatrin,drug class is Breast Feeding and Lactation and Anticonvulsants and GABA Agents.generate smile image.
Ketamine,drug class is Breast Feeding and Lactation and Milk  Human and Anesthetics  Intravenous and Hypnotics and Sedatives and Anesthetics  Dissociative and Excitatory Amino Acid Antagonists;.generate smile image.
Nitazoxanide,drug class is Breast Feeding and Lactation and Anti-Infective Agents and Antiparasitic Agents.generate smile image.
Sodium Picosulfate,drug class is Breast Feeding and Lactation and Cathartics and Gastrointestinal Agents.generate smile image.
Magnesium Citrate,drug class is Breast Feeding and Lactation and Milk  Human and Cathartics and Gastrointestinal Agents and Magnesium Compounds.generate smile image.
Magnesium Oxide,drug class is Breast Feeding and Lactation and Cathartics and Gastrointestinal Agents and Magnesium Compounds.generate smile image.
Itraconazole,drug class is Breast Feeding and Lactation and Milk  Human and Antifungal Agents.generate smile image.
Elvitegravir,drug class is Breast Feeding and Lactation and Milk  Human and Anti-Infective Agents and Anti-HIV Agents and Antiviral Agents and Anti-Retroviral Agents and HIV Integrase Inhibitors.generate smile image.
Paclitaxel,drug class is Breast Feeding and Lactation and Milk  Human and Antineoplastic Agents  Phytogenic and Antimitotic Agents and Tubulin Modulators.generate smile image.
Carboplatin,drug class is Breast Feeding and Lactation and Milk  Human and Antineoplastic Agents and Platinum Compounds.generate smile image.
Enalapril,drug class is Breast Feeding and Lactation and Antihypertensive Agents and Angiotensin-Converting Enzyme Inhibitors and ACE Inhibitors and ACEIs.generate smile image.
Enoxacin,drug class is Breast Feeding and Lactation and Anti-Infective Agents and Antibacterial Agents and Quinolones and Fluoroquinolones.generate smile image.
Enoxaparin,drug class is Breast Feeding and Lactation and Anticoagulants and Low Molecular Weight Heparin.generate smile image.
Agalsidase Beta,drug class is Breast Feeding and Lactation and Enzymes and Enzyme Replacement Therapy and alpha-Galactosidase.generate smile image.
Telaprevir,drug class is Breast Feeding and Lactation and Milk  Human and Antiviral Agents.generate smile image.
Boceprevir,drug class is Breast Feeding and Lactation and Milk  Human and Antiviral Agents and Protease Inhibitors.generate smile image.
Diethyltoluamide,drug class is Breast Feeding and Lactation and Insect Repellents.generate smile image.
Ribavirin,drug class is Breast Feeding and Lactation and Antiviral Agents and Nucleosides.generate smile image.
Ammonia N 13,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Nitrogen Radioisotopes and Diagnostic Agents.generate smile image.
Rubidium Chloride Rb 82,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Rubidium Radioisotopes and Diagnostic Agents.generate smile image.
Eflornithine,drug class is Breast Feeding and Lactation and Antiparasitic Agents and Antiprotozoal Agents and Enzyme Inhibitors and Trypanocidal Agents.generate smile image.
Sildenafil,drug class is Breast Feeding and Lactation and Milk  Human and Phosphodiesterase 5 Inhibitors and Urologic Agents and Vasodilator Agents.generate smile image.
Bosentan,drug class is Breast Feeding and Lactation and Milk  Human and Antihypertensive Agents.generate smile image.
Gadoterate,drug class is Breast Feeding and Lactation and Milk  Human and Contrast Media and Diagnostic Agents.generate smile image.
Doxylamine,drug class is Breast Feeding and Lactation and Antihistamines and Antiemetics and Gastrointestinal Agents.generate smile image.
Ferric Carboxymaltose,drug class is Breast Feeding and Lactation and Ferric Compounds and Hematinics and Iron Compounds.generate smile image.
Ethacrynic Acid,drug class is Breast Feeding and Lactation and Antihypertensive Agents and Loop Diuretics.generate smile image.
Canagliflozin,drug class is Breast Feeding and Lactation and Hypoglycemic Agents and Sodium-Glucose Cotransporter 2 Inhibitors and SGLT2 Inhibitors.generate smile image.
Iron Dextran,drug class is Breast Feeding and Lactation and Ferric Compounds and Hematinics and Iron Compounds.generate smile image.
Alogliptin,drug class is Breast Feeding and Lactation and Hypoglycemic Agents and Incretins and Dipeptidyl-Peptidase IV Inhibitors and DPP-4 Inhibitors.generate smile image.
Gadofosveset,drug class is Breast Feeding and Lactation and Milk  Human and Contrast Media and Diagnostic Agents.generate smile image.
Luliconazole,drug class is Breast Feeding and Lactation and Antifungal Agents and Anti-Infective Agents.generate smile image.
Leflunomide,drug class is Breast Feeding and Lactation and Milk  Human and Antirheumatic Agents and Immunosuppressive Agents.generate smile image.
Dolutegravir,drug class is Breast Feeding and Lactation and Milk  Human and Anti-HIV Agents and Antiviral Agents and Anti-Retroviral Agents and HIV Integrase Inhibitors.generate smile image.
Everolimus,drug class is Breast Feeding and Lactation and Immunosuppressive Agents.generate smile image.
