drug name,molecular_formula,smiles,,drug class
Zinc,Zn,[Zn],,Trace Elements and Metals|Chelating Agents|Wilson Disease Agents
Lithium,Li,[Li],,Antipsychotic Agents|Trace Elements and Metals
Iron,Fe,[Fe],,Trace Elements and Metals
Copper,Cu,[Cu],,Trace Elements and Metals
Cisplatin,Cl2H6N2Pt,N.N.Cl[Pt]Cl,,Antineoplastic Agents|Alkylating Agents
Hydroxyurea,CH4N2O2,C(=O)(N)NO,,Antineoplastic Agents|Hematologic|Sickle Cell Disease Agents
Foscarnet,CH3O5P,C(=O)(O)P(=O)(O)O,,Antiviral Agents
Guanfacine,C9H9Cl2N3O,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl,,Antihypertensive Agents|ADHD Agents
Clonidine,C9H9Cl2N3,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,,Antihypertensive Agents|ADHD Agents
Aspirin,C9H8O4,CC(=O)OC1=CC=CC=C1C(=O)O,,Antithrombotic Agents|Antiplatelet Agents|Salicylates
Tizanidine,C9H8ClN5S,C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl,,Muscle Relaxants
Azathioprine,C9H7N7O2S,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],,Antineoplastic Agents|Antirheumatic Agents|Transplant Drugs|Purine Analogues
Lamotrigine,C9H7Cl2N5,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,,Anticonvulsants
Altretamine,C9H18N6,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,,Antineoplastic Agents|Alkylating Agents
Meprobamate,C9H18N2O4,CCCC(C)(COC(=O)N)COC(=O)N,,Sedatives and Hypnotics
Gabapentin,C9H17NO2,C1CCC(CC1)(CC(=O)O)CN,,Anticonvulsants
Lomustine,C9H16ClN3O2,C1CCC(CC1)NC(=O)N(CCCl)N=O,,Antineoplastic Agents|Alkylating Agents
Captopril,C9H15NO3S,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,,Antihypertensive Agents|Angiotensin-Converting Enzyme Inhibitors
Minoxidil,C9H15N5O,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,,Antihypertensive Agents
Tenofovir,C9H14N5O4P,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(O)O,,Antiviral Agents
GabapentinEnacarbil,C9H14N2,CN(C)C1=CC=C(C=C1)CN,,Anticonvulsants
Cytarabine,C9H13N3O5,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,,Antineoplastic Agents
Droxidopa,C9H11NO5,C1=CC(=C(C=C1[C@H]([C@@H](C(=O)O)N)O)O)O,,Antiparkinson Agents
Tranylcypromine,C9H11N,C1C(C1N)C2=CC=CC=C2,,Antidepressant Agents
Floxuridine,C9H11FN2O5,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)F)CO)O,,Antineoplastic Agents
Gemcitabine,C9H11F2N3O4,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,,Antineoplastic Agents
Acetaminophen,C8H9NO2,CC(=O)NC1=CC=C(C=C1)O,,Nonsteroidal Antiinflammatory Drugs
Hydralazine,C8H8N4,C1=CC=C2C(=C1)C=NN=C2NN,,Antihypertensive Agents
Zonisamide,C8H8N2O3S,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,,Anticonvulsants
Nitrofurantoin,C8H6N4O5,C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],,Antiinfective Agents
Riluzole,C8H5F3N2OS,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N,,Alzheimer Disease Agents
Miglitol,C8H17NO5,C1[C@@H]([C@H]([C@@H]([C@H](N1CCO)CO)O)O)O,,Antidiabetic Agents
Pregabalin,C8H17NO2,CC(C)C[C@@H](CC(=O)O)CN,,Anticonvulsants
Valproate,C8H16O2,CCCC(CCC)C(=O)O,,Anticonvulsants
Famotidine,C8H15N7O2S3,C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N,,Antiulcer Agents
Streptozocin,C8H15N3O7,CN(C(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O)O)N=O,,Antineoplastic Agents
Cidofovir,C8H14N3O6P,C1=CN(C(=O)N=C1N)C[C@@H](CO)OCP(=O)(O)O,,Antiviral Agents
Oxaliplatin,C8H14N2O4Pt,C1CC[C@H]([C@@H](C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],,Antineoplastic Agents|Alkylating Agents
Levetiracetam,C8H14N2O2,CC[C@@H](C(=O)N)N1CCCC1=O,,Anticonvulsants
Tinidazole,C8H13N3O4S,CCS(=O)(=O)CCN1C(=NC=C1[N+](=O)[O-])C,,Antiinfective Agents
Adefovir,C8H12N5O4P,C1=NC(=C2C(=N1)N(C=N2)CCOCP(=O)(O)O)N,,Antiviral Agents
Azacitidine,C8H12N4O5,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,,Antineoplastic Agents
Ribavirin,C8H12N4O5,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,,Antiviral Agents|Nucleoside Analogues|Hepatitis C Agents
