drug name,drug class
Abacavir,Antiviral Agents
Abatacept,Antirheumatic Agents
Abemaciclib,Antineoplastic Agents|Protein Kinase Inhibitors
Abiraterone,Antineoplastic Agents|Antiandrogens
Abrocitinib,Protein Kinase Inhibitors
Acalabrutinib,Antineoplastic Agents|Protein Kinase Inhibitors
Acamprosate,Substance Abuse Treatment Agents
Acarbose,Antidiabetic Agents
Acebutolol,Beta-Adrenergic Receptor Antagonists
Acetaminophen,Nonsteroidal Antiinflammatory Drugs
Acetylcysteine,"Antidotes, Toxicological Emergency"
Acitretin,Dermatologic Agents;|Vitamins
Aclidinium,Anticholinergic Agents
Acrivastine,Antihistamines
Acyclovir,Antiviral Agents
Adalimumab,Antirheumatic Agents
Adefovir,Antiviral Agents
Aducanumab,Monoclonal Antibodies|Alzheimer Disease Agents
Afatinib,Antineoplastic Agents|Protein Kinase Inhibitors
Albendazole,Anthelmintic Agents
Albiglutide,Antidiabetic Agents
Aldesleukin,Antineoplastic Agents
Alectinib,Antineoplastic Agents|Protein Kinase Inhibitors
Alefacept,"Dermatologic Agents,|Psoriasis Agents"
Alemtuzumab,Antineoplastic Agents|Monoclonal Antibodies|Transplant Agents|Multiple Sclerosis Agents
Alfuzosin,Benign Prostatic Hypertrophy Agents
Alirocumab,Antilipemic Agents|Monoclonal Antibodies
Aliskiren,Antihypertensive Agents
AlkylatingAgents,Antineoplastic Agents
Allopurinol,Antigout Agents
AloeVera,Herbal and Dietary Supplements
Alogliptin,Antidiabetic Agents|Incretin-Based Drugs
Alpelisib,Antineoplastic Agents|Tyrosine Kinase Inhibitors
AlphaGlucosidaseInhi,Antidiabetic Agents
AlphaLipoicAcid,Herbal and Dietary Supplements
Alpha_Peginterferon,Antiviral Agents|Hepatitis C Agents
Alprazolam,Benzodiazepines
Altretamine,Antineoplastic Agents|Alkylating Agents
Amantadine,Antiviral Agents|Antiparkinson Agents
Ambrisentan,Pulmonary Arterial Hypertension Agents
AmideLocalAnesthetic,"Anesthetics, Local"
Amifampridine,Myasthenia Agents
Amikacin,Aminoglycosides
Amiloride,Diuretics
Amiodarone,Antiarrhythmic Agents
Amitriptyline,Antidepressant Agents
Amlodipine,"Cardiovascular Agents,|Calcium Channel Blockers"
Amodiaquine,Antimalarial Agents
Amoxapine,Antidepressant Agents
Amoxicillin,Antiinfective Agents|Aminopenicillins
AmoxicillinClavulana,Antiinfective Agents|Aminopenicillins
Amphetamines,Central Nervous System Stimulants
AmphotericinB,Antifungal Agents
Ampicillin,Antiinfective Agents|Aminopenicillins
AmpicillinSulbactam,Antiinfective Agents|Aminopenicillins
AmprenavirFosampren,Antiviral Agents
Anagrelide,Antithrombotic Agents
Anakinra,Antirheumatic Agents
Anastrozole,Antineoplastic Agents|Aromatase Inhibitors
AndrogenicSteroids,Androgenic Steroids
AnthraxAntitoxins,Antiinfective Agents|Monoclonal Antibodies
AntiemeticAgents,Gastrointestinal Agents
AntithymocyteGlobuli,Transplant Agents
Apalutamide,Antineoplastic Agents|Antiandrogens
Apixaban,Antithrombotic Agents|Anticoagulants
Apoaequorin,Herbal and Dietary Supplements
Apomorphine,Antiparkinson Agents
Apremilast,"Dermatologic Agents,|Psoriasis Agents"
Aprepitant,Gastrointestinal Agents|Antiemetic Agents
Arecacatechu,Herbal and Dietary Supplements
Aripiprazole,Antipsychotic Agents|Brexpiprazole
ArnicaMontana,Herbal and Dietary Supplements
AromataseInhibitors,Antineoplastic Agents|Tamoxifen
Arsenic,Trace Elements and Metals
ArtemisininDerivativ,Antimalarial Agents
Asenapine,Antipsychotic Agents
Ashwagandha,Herbal and Dietary Supplements
Asparaginase,Antineoplastic Agents
Aspirin,Antithrombotic Agents|Antiplatelet Agents|Salicylates
Astragalus,Herbal and Dietary Supplements
Atazanavir,Antiviral Agents
Atenolol,Beta-Adrenergic Receptor Antagonists
Atezolizumab,Antineoplastic Agents|Monoclonal Antibodies
Atomoxetine,Central Nervous System Stimulants|ADHD Agents
Atorvastatin,Antilipemic Agents
Atovaquone,Antimalarial Agents|Proguanil
Atropine_Homatropine,Anticholinergic Agents
Avanafil,PDE5 Inhibitors
Avelumab,Antineoplastic Agents|Monoclonal Antibodies
Axitinib,Antineoplastic Agents|Protein Kinase Inhibitors
Azacitidine,Antineoplastic Agents
Azathioprine,Antineoplastic Agents|Antirheumatic Agents|Transplant Drugs|Purine Analogues
Azilsartan,Antihypertensive Agents|Angiotensin II Receptor Antagonists
Azithromycin,Antiinfective Agents|Macrolide Antibiotics
Aztreonam,Antiinfective Agents
BaJiaoLian,Herbal and Dietary Supplements|Chinese and Other Asian Herbal Medicines
Baclofen,Muscle Relaxants
Baloxavir,Antiviral Agents
Barbiturates,Sedatives and Hypnotics
Baricitinib,Antirheumatic Agents|Protein Kinase Inhibitors|COVID-19 Drugs
Basiliximab,Transplant Agents|Monoclonal Antibodies
Bedaquiline,Antituberculosis Agents
Belimumab,Monoclonal Antibodies
Belinostat,Antineoplastic Agents
Benazepril,Antihypertensive Agents|Angiotensin-Converting Enzyme Inhibitors
Bendamustine,Antineoplastic Agents|Alkylating Agents
Benralizumab,Antiasthmatic Agents|Monoclonal Antibodies
Benzbromarone,Antigout Agents
Benznidazole,Antiinfective Agents
BenzodiazepineDrugs,Anticonvulsants|Benzodiazepines
Benztropine,Antiparkinson Agents|Anticholinergic Agents
